STRING_ID,English,Translation,Description,Spanish,Chinese,German,Brazilian,French,Russian,Korean
D_Thief_BQ,"Rob tons of Chests and Safes and prove to yourself that yes, you are worth a damn!",,,¡Roba todos los cofres y cajas fuertes que pilles por delante y demuestra que tú sí que vales!,抢劫大量宝箱和保险箱，向自己证明你的确还是有点价值的！,Raube tonnenweise Truhen und Tresore und beweise dir ... Yup! Dass du jeden Pfifferling wert bist!,"Roube vários Baús e Cofres e prove pra si mesmo que sim, você vale muito!",Volez des tonnes de coffres et de coffres-forts pour vous prouver à vous-même que vous êtes spécial !,"Опустоши кучу сундуков и сейфов и докажи, что ты, черт возьми, этого стоишь!",엄청난 수의 상자와 금고를 털고 스스로가 자격이 있다는 것을 증명하십시오!
D2_Thief_BQ,Rob a certain number of Chests and Safes,,,Roba cierto número de cofres y cajas fuertes,抢劫一定数量的宝箱和保险箱,Raube eine bestimmte Anzahl an Truhen und Tresore.,Roube um determinado número de Baús e Cofres,Volez un certain nombre de coffres et de coffres-forts,Разграбь определенное количество сундуков и сейфов,특정 개수의 상자와 금고를 터십시오
Wrestler_BQ,The Undefeated Champ,,,El campeón invicto,不败冠军,Der unbesiegte Champion,Campeão Invicto,L'Invaincu,Непобедимый чемпион,무패 챔프
D_Wrestler_BQ,"Challenge people from all walks of life to a fair fight, and become the muscly pride of the city.",,,"Desafía a personas de todos los ámbitos de la vida a una pelea justa, y conviértete en el orgullo musculoso de la ciudad.",向各行各业的人们发起公平挑战，成为城市的肌肉骄傲！,Fordere Menschen aus allen Gesellschaftsschichten zu einem fairen Kampf heraus und werde zum muskulösen Stolz der Stadt.,Desafie pessoas de todas as esferas da vida para uma luta justa e torne-se o orgulho musculoso da cidade.,Défiez à la régulière des personnes de tous horizons et devenez la fierté musclée de la ville.,Вызывай на честный бой людей из всех слоев общества и станьте мускулистой гордостью города.,모든 사람들의 삶에서 공정한 싸움에 이르기까지 도전하여 도시의 자랑스런 자부심이 되어 보세요.
D2_Wrestler_BQ,"Ask a certain person to fight, and win without cheating or using projectile weapons and throwable items",,,"Pídele a una determinada persona que pelee, y gana sin hacer trampas o usar armas de proyectiles u objetos arrojadizos",与特定的人决斗， 通过不作弊、不使用枪械、投掷武器取得胜利。,"Fordere eine bestimmte Person zum Kampf heraus und gewinne, ohne zu schummeln oder Schusswaffen und Wurfgegenstände zu benutzen",Chame alguém para brigar e vença sem trapacear ou usando armas de fogo e itens que podem ser jogados,Provoquez certaines personnes en duel. Triomphez sans tricher et sans utiliser d'armes à projectiles/d'objets à jeter,Предложи бой определенному человеку и одержи победу без обмана и не используя метательное оружия и бросаемые предметы,어떤 사람에게 싸울 것을 부탁하고 발사 무기와 던질 수 있는 아이템을 사용하거나 속이지 않고 승리합니다.
Athlete_BQ,Harmless Pranks,,,Bromas inofensivas,无害的恶作剧,Harmlose Streiche,Pegadinha Inofensiva,C'est juste une blague,Безобидные шалости,무해한 장난
D_Athlete_BQ,"Your bros have dared you to break a whole bunch of objects!  You know, for a prank!",,,"¡Tus amigos te han desafiado a romper un montón de objetos! Ya sabes, ¡para hacer una broma!",你的兄弟问你有没有胆量去破坏一堆东西？你懂的，只是个恶作剧！,"Deine Brüder haben dich dazu herausgefordert, eine ganze Reihe von Objekten zu zerbrechen! Weißt du, so als Streich!","Seus camaradas desafiaram você a quebrar todos os tipo de objetos! Sabe como é, como uma pegadinha!","Vos potes vous ont eu au même pas cap' de casser tout un tas d'objets ! Mais c'est juste une blague, gars !","Братишки подначили тебя сломать кучу всего! Ну, чисто по приколу!",당신의 형제들이 모든 개체를 파괴하기 위해 감히 당신을 사로 잡았습니다. 장난인 거 알죠?
D2_Athlete_BQ,Destroy every object of a certain type,,,Destruye cada objeto de un determinado tipo,破坏特定种类的每一个目标物体。,Zerstöre jedes Objekt eines bestimmten Typs,Destrua todos os objetos de um certo tipo,Détruisez tous les objets d'un certain type,Уничтожить все объекты определенного типа,특정 유형의 모든 개체를 삭제합니다.
Comedian_BQ,Last Comic Standing,,,Batalla de comediantes,最后的喜剧大师,Der letzte Comedian,O último Comediante de pé,Il ne peut en rester qu'un sur scène,Последний комик,마지막 코믹 스탠딩
D_Comedian_BQ,Practice your act on the city's denizens and become the gut-busting-est comedian this side of Gallagher.,,,Practica tu acto con los habitantes de la ciudad y conviértete en el comediante más hilarante de este lado de Gallagher.,在城市的居民面前练习你的表演技术，并成为最能让人笑破肚皮的喜剧大师。,Übe deinen Auftritt an den Bürgern der Stadt und werde zum brutalsten Komiker diesseits von Gallagher.,Pratique seu número com os cidadãos da cidade e torne-se o comediante mais engraçado deste lado de Gallagher.,Pratiquez votre art sur les habitants de la ville et devenez le plus drôle des humoristes de ce côté de Gallagher.,Практикуйся на жителей города и стань наикрутейшим комиком на этой стороне Галлахера.,도시 주민들에 대한 당신의 행동을 실천하고 갤러거의 끔찍한 코미디언이 되어 보세요.
D2_Comedian_BQ,Tell jokes to a percentage of people on each floor,,,Cuenta chistes a un porcentaje de personas en cada planta,向这一层一定数量的居民讲过笑话。,Erzähle einem prozentualen Anteil der Personen in jedem Abschnitt Witze,Conte piadas para uma porcentagem de pessoas em cada um dos andares,Racontez des blagues à un pourcentage de personnes à chaque étage,Расскажи шутки определенному проценту людей на каждом этаже,농담을 각 층에 있는 사람들의 비율로 말합니다.
Slavemaster_BQ,Catch 'Em All!,,,¡Atrápalos a todos!,抓住他们！,Schnapp sie dir alle!,Capture Todos!,Capturez-les tous !,Поймай всех!,모두 잡아라!
D_Slavemaster_BQ,Catch citizens of all varieties to achieve the greatest collection in the land.,,,Esclaviza a personas de todo tipo para lograr la mayor colección de esclavos de la región.,奴役各种各样的人，成为这片土地上最厉害的奴隶收藏家。,"Versklave Personen aller Schichten, um die größte Sklavensammlung im Land zu bekommen.",Escravize pessoas de todas as variedades e obtenha a maior coleção de escravos na terra.,Réduisez en esclavage chaque type de personne pour devenir le meilleur collectionneur d'esclaves du pays.,Обращай в рабов самых разных людей и собери величайшую коллекцию рабов на земле.,지구에서 가장 훌륭한 노예를 모으기 위해 모든 사람들을 노예화합니다.
D2_Slavemaster_BQ,Enslave someone of a certain class and bring them to the entrance or exit,,,Esclaviza a alguien de cierta clase y llévalo a la entrada o salida,奴役特定职业的一个人， 并将他们带到入口或出口,Versklave jemanden einer bestimmten Klasse und bring ihn zum Eingang oder Ausgang,Escravize alguém de uma certa classe e traga ele até a entrada ou saída,Réduisez en esclavage une personne d'une certaine classe et amenez-la à l'entrée ou à la sortie,Обрати в раба человека определенного класса и приведи его ко входу или выходу,특정 계급의 사람을 노예로 삼아 출입구로 데려 오십시오.
Soldier_BQ,Power Struggle,,,Lucha de poder,电力斗争,Machtkampf,Luta pelo Poder,Lutte de pouvoir,Энергетические проблемы,권력 투쟁
D_Soldier_BQ,Generators throughout the city provide excessive power to the top floor.  Blow 'em all to hell!,,,Los generadores de toda la ciudad proporcionan una potencia excesiva a la planta superior. ¡Detónalos a todos!,整个城市的发电机为顶层提供过多的电力。把它们全炸进地狱吧！,Generatoren in der ganzen Stadt versorgen den obersten Abschnitt mit übermäßig viel Strom. Spreng sie alle in die Hölle!,Os geradores espalhados por toda a cidade fornecem energia em excesso para o andar superior. Mande todos para o inferno!,Les générateurs de la ville apportent trop d'énergie au dernier étage. Faites tout péter !,Генераторы в городе вырабатывают слишком много энергии для верхнего этажа. Взорви их к чертям!,도시 전역의 발전기는 최상층에 과도한 전력을 공급합니다. 모두 지옥으로 날려 버려요!
D2_Soldier_BQ,Destroy all Generators,,,Destruye todos los generadores,摧毁所有的发电机,Zerstöre alle Generatoren,Destrua todos os Geradores,Détruisez tous les générateurs,Уничтожить все генераторы,모든 발전기를 파괴합니다
Vampire_BQ,Mythical Matchup,,,Enfrentamiento mítico,暮光之城,Mythisches Zusammentreffen,Encontro Mítico,Crépuscule : extermination,Мифическое противостояние,신화 매치업
D_Vampire_BQ,"Hunt down and kill every Werewolf in the city, so you can finally suck the blood of innocents in peace.",,,"Persigue y mata a todos los hombres lobo de la ciudad, para que finalmente puedas chupar la sangre de los inocentes en paz.",在城市里搜寻并杀死每一个狼人，这样你就可以在平静中吸吮无辜者的血。,"Jage und töte alle Werwölfe in der Stadt, damit du endlich in Ruhe das Blut der Unschuldigen saugen kannst.","Cace e mate todos os lobisomens na cidade, para que você possa, finalmente, sugar o sangue de inocentes em paz.","Chassez et tuez tous les Loups-garous de la ville, histoire de pouvoir enfin sucer le sang des innocents en paix.","Выследи и убей всех вервольфов в городе, чтобы можно было наконец спокойно сосать кровь из невинных.",사냥하여 도시의 모든 워울프를 처치합니다. 결국 평화롭게 지내는 무고한 사람들의 피를 먹을 수 있습니다.
D2_Vampire_BQ,Find and kill the hidden Werewolf using your Werewolf A-Were-ness,,,Encuentra y mata al hombre lobo oculto usando tu Detección de hombres lobo,使用你的狼人意识找到并击杀所有隐藏的狼人,Finde und töte den versteckten Werwolf. Nutze dabei deine Werwolf-Achtsamkeit,Encontre e mate o lobisomem escondido usando sua Percepção de Lobisomem,Utilisez Loup y es-tu pour trouver et tuer les Loups-garous cachés,С помощью своей чуйки найти и убить спрятавшегося вервольфа,워울프 어워니스를 사용하여 숨겨진 워울프를 찾아 처치합니다.
Cannibal_BQ,Acquired Tastes,,,Gustos adquiridos,满足品味,Erworbener Geschmack,Gostos Adquiridos,Delicatessen,Приобретенный вкус,얻은 맛
D_Cannibal_BQ,Achieve the ideal diet by satisfying your specific moment-to-moment cravings.,,,Logra la dieta ideal satisfaciendo tus antojos específicos instante a instante.,去满足你突然产生的特殊食欲，这样就能完成你的理想食谱。,"Erreiche die ideale Ernährungsweise, indem du stets deinen spezifischen Heißhunger stillst.",Adquira a dieta ideal satisfazendo seus desejos específicos de cada momento.,Obtenez le régime idéal en satisfaisant vos petites envies aussi soudaines que spécifiques.,Безупречная диета — это когда ты удовлетворяешь сиюминутные желания.,특정한 순간의 갈망을 충족하여 이상적인 다이어트를 달성합니다.
D2_Cannibal_BQ,Eat a certain type of person,,,Come un cierto tipo de persona,吃掉某个特定的人,Verspeise eine bestimmte Art von Person,Coma um certo tipo de pessoal,Mangez un certain type de personne,Съесть человека определенного типа,특정 유형의 사람을 먹습니다.
Shopkeeper_BQ,The New Hotness,,,La nueva moda,全新热销,Absolut heiß,A Nova Beleza,Le diable s'habille en Adadas,Писк моды,새롭고 핫한
D_Shopkeeper_BQ,"Achieve fad-capitalizing mastery by finding the current ""hot"" item and selling it for a solid profit.",,,"Alcanza la maestría en capitalización de modas encontrando el artículo actualmente ""de moda"" y vendiéndolo por una sólida ganancia.",找到当前的“热门”物品并出售来获取不菲利润，取得资本狂热精通。,"Meistere die Kunst um die Modeerscheinungen, indem du den momentan „heißesten“ Artikel findest und ihn gewinnbringend verkaufst.","Conquiste o domínio da capitalização com a moda, encontrando o item que atualmente está ""na moda"" para vendê-lo por um lucro sólido.","Élevez votre maîtrise du capitalisme en découvrant l'actuel objet ""tendance"" et en le revendant à un prix défiant toute concurrence... et tout bénéfice.","Стань самым пронырливым спекулянтом: ищи самые «модные» предметы и продавай их, получая солидную прибыль.","현재의 ""핫한"" 아이템을 찾아 확실한 이익을 위해 팔아서 유행 자본화의 완성을 달성합니다."
D2_Shopkeeper_BQ,"Find the current ""hot"" item and sell it with your Portable Sell-O-Matic",,,"Encuentra el artículo actualmente ""de moda"" y véndelo con tu Máquina revendedora portátil",找到并卖掉一个特定的道具,Finde den momentan „heißesten“ Artikel und verkaufe ihn mit deinem tragbaren Verkauf-O-Mat,"Encontre o item atualmente ""em alta"" e venda ele com seu Robô Vendedor Portátil","Trouvez l'objet ""tendance"" actuel et vendez-le grâce à votre Borne de vente portable",Найди актуальный «модный» предмет и продать его в портативном скупщике,"현재 ""핫한"" 아이템을 찾아 휴대용 셀오매틱으로 판매합니다."
Hobo_BQ,Movin' On Up,,,Movilidad social,向上移动,Der Aufstieg,Subindo,Ascenseur social,Вверх по лестнице,위로 이동
D_Hobo_BQ,Make enough payments to secure status as an Upper-Cruster,,,Haz suficientes pagos para conseguir el estado de Clase Alta,支付足够的钱，获取上流社会的地位,"Führe genug Zahlungen durch, um dir den Status als Mitglied der privilegierten Oberschicht zu sichern",Realize pagamentos suficientes para garantir seu estado de Classe Alta,Payez suffisamment pour intégrer le gratin,"Сделай достаточно платежей, чтобы получить статус богатея",어퍼 크러스트로서의 상태를 확보하기 위해 충분하게 지불합니다
D2_Hobo_BQ,"Make Upper-Crusty payments every floor via ATM or Bank Clerk.  If you fail a level, you can make it up later.",,,"Haz pagos de Clase Alta en cada planta en un cajero automático o a un cajero de banco. Si no lo logras hacer en un nivel, podrás compensarlo más tarde.",逮捕/杀死罪犯分别获得2/1枚警徽， 杀死无辜会损失警徽。 如果你闯关失败， 那么可以稍后弥补。,"Zahle in jedem Abschnitt über einen Geldautomaten oder beim Bankangestellten Geld in den Fonds für die privilegierte Oberschicht ein. Wenn du ein Level nicht schaffst, kannst du das später ausbessern.","Realize os pagamentos do Bairro Classe A em cada um dos andares através de Caixa Eletrônicos ou Atendente de Banco. Se você não conseguir em um nível, você pode compensar mais tarde.","Effectuez des paiements de gratin à chaque étage, via distributeur automatique ou employé de banque. Si vous échouez à un niveau, vous pouvez vous rattraper plus tard.","Делай платежи в счет статуса богатея на каждом этаже — через банкомат или банковского клерка. Если уровень пройти не удается, можно будет закончить позже.",ATM이나 은행 출납원을 통해 모든 층에서 어퍼 크러스티를 결제합니다. 레벨에서 실패하면 나중에 복구할 수 있습니다.
GangbangerB_BQ,Turf War,,,Guerra territorial,帮派地盘战争,Straßenkrieg,Disputa de Território,Guerre de territoire,Война за территорию,터프 전쟁
D_GangbangerB_BQ,"Wipe out every last Crepe you come across, and ensure permanent Blahd dominance in the city.",,,"Elimina a cada Crepe que te cruces, y asegura el dominio permanente de los Blahd en la ciudad.",消灭你遇到的所有瘸帮，确保血帮对城市的统治。,"Beseitige jeden einzelnen Crepe, der dir begegnet, und sorge für dauerhafte Dominanz der Blahds in der Stadt.",Elimine até o último Crepe que atravessar seu caminho e garanta que o domínio dos Blahds continue na cidade.,"Éliminez toutes les Crêpes que vous croisez, et assurez la mainmise définitive des Blairs sur la ville.","Уничтожь всех Невалидных, которые попадутся, и обеспечь полное господство Кровяных в городе.",나타나는 마지막 크레페를 소탕하고 도시에서 영원한 블라드 우위를 확인합니다.
D2_GangbangerB_BQ,Neutralize every single Crepe,,,Neutraliza a todos los Crepes,消灭每一个瘸帮,Neutralisiere jeden einzelnen Crepe,Neutralize até o último Crepe,Neutralisez toutes les Crêpes,Нейтрализовать всех Невалидных,모든 단일 크레페를 중립화합니다
Assassin_BQ,Silent But Deadly,,,Silencioso pero letal,致命的沉默,"Still, aber tödlich","Silencioso, mas Mortal","Silence, on tue",Тихая смерть,침묵하지만 치명적으로
D_Assassin_BQ,"Stealthily assassinate important and heavily guarded people.  Mainly just for practice, but also for fun!",,,"Asesina sigilosamente a personas importantes y fuertemente custodiadas. Principalmente solo para practicar, ¡pero también para divertirte!",潜行暗杀重要且戒备森严的目标。主要是为了练习，但也是为了好玩！,"Töte heimlich wichtige und streng bewachte Menschen. Hauptsächlich zum Üben, aber auch zum Spaß!","Assassine furtivamente pessoas importantes e altamente protegidas. Principalmente só para praticas, mas também para se divertir!","Assassinez furtivement des personnes importantes et fortement protégées. C'est essentiellement pour vous entraîner, mais aussi pour vous amuser !","Скрытно убей важных персон и людей с серьезной охраной. В первую очередь — ради практики, но и для удовольствия тоже!",중요하고 중무장한 사람들을 은밀히 암살합니다. 주로 연습을 위해서 뿐만 아니라 재미도 있습니다.
D2_Assassin_BQ,"Neutralize a person marked with an orange arrow.  If anyone spots you, you'll need to neutralize them too.",,,"Neutraliza a una persona marcada con una flecha naranja. Si alguien te ve, también deberás neutralizarlo.",中立标有黄色箭头的人。 如果被其他人看到， 那么你也要将他们中立。,"Neutralisiere eine Person, die mit einem orangefarbenen Pfeil markiert ist. Wenn jemand dich entdeckt, musst du diesen Jemand ebenfalls neutralisieren.","Neutralize uma pessoa marcada com uma seta laranja. Se alguém o visualizar, você também precisará neutralizá-lo.","Neutralisez une personne marquée d'une flèche orange. Si quelqu'un vous repère, vous devez aussi le neutraliser.","Нейтрализовать человека, отмеченного оранжевой стрелкой. Если кто-то тебя заметит, его тоже придется нейтрализовать.","오렌지색 화살표가 표시된 사람을 중립시키십시오. 누군가 당신을 발견한다면, 그들을 무력화시켜야 합니다."
Scientist_BQ,Ethical Experiments,,,Experimentos éticos,道德实验,Ethische Experimente,Experimentos Éticos,Recherche éthique,Этические эксперименты,윤리적 실험
D_Scientist_BQ,"Research the effects of various ""medications"" on ""willing"" participants",,,"Investiga los efectos de diversos ""medicamentos"" en participantes ""voluntarios""",研究各种针剂药物对“志愿者”的效果。,Untersuche die Effekte verschiedener „Medikamente“ bei „bereitwilligen“ Teilnehmern,"Pesquise os efeitos de vários: medicamentos"" em participantes ""dispostos""","Testez les effets de divers ""médicaments"" sur des ""volontaires""",Изучи влияние различных «лекарств» на «добровольцах».,"""적극적인"" 참가자들에게 대한 다양한 ""약물""의 효과를 연구합니다."
D2_Scientist_BQ,"Infect someone with status effect, then use your Research Gun on them.  Also, look for a helpful supply crate.",,,"Infecta a alguien con un efecto de estado y luego dispárales con tu Arma experimental. Además, busca una útil caja de suministros.",用状态效果感染一个人， 然后对他使用你的实验枪。 此外， 请找一个有用的补给箱。,Infiziere jemanden mit einem Statuseffekt und nutze dann bei ihm dein Forschungsgewehr. Such außerdem nach einer nützlichen Vorratskiste.,"Contamine alguém com o efeito de estado, depois use sua Arma Experimental nele. Além disso, procure por um caixote de suprimentos útil.","Inoculez un effet particulier à quelqu'un, puis utilisez sur ce dernier le Flingue expérimental. Cherchez aussi la caisse de ravitaillement utile.","Зарази кого-нибудь статусным эффектом, а затем используй на зараженном экспериментальное оружие. Кроме того, ищи полезный ящик с припасами.",상태 효과로 누군가를 감염시킨 다음 리서치 건을 사용합니다. 또한 도움이 되는 공급 상자를 찾습니다.
Firefighter_BQ,Fire Watch,,,Vigilancia antiincendios,消防值班,Feuerwache,Vigia Contra Incêndio,Veille à incendie,Дежурный пожарник,파이어 워치
D_Firefighter_BQ,"Arsonists are running amok in the city, so do your job and put out them fires!",,,"Los pirómanos están desenfrenados en la ciudad, así que ¡haz tu trabajo y apaga los incendios!",纵火犯正在城里肆意妄为，做好你的工作，把火扑灭！,"Brandstifter laufen in der Stadt Amok, also erledige deine Arbeit und lösche die Feuer!","Os incendiários estão correndo soltos pela cidade, então faça seu trabalho e apague o fogo deles!",Les incendiaires se lâchent dans la ville. C'est à vous d'éteindre les feux !,В городе разбушевались поджигатели — придется хорошенько поработать и затушить пожары!,방화범들이 도시에서 날뛰고 있습니다. 맡은 일을 하고 불을 끕니다.
D2_Firefighter_BQ,Extinguish fires set by arsonists before they incinerate walls and objects,,,Extingue los incendios provocados por los pirómanos antes de que incineren las paredes y los objetos,在墙壁和物体被焚烧殆尽之前， 将纵火犯放的火扑灭,"Lösche Feuer, die von Brandstiftern angezündet wurden, bevor sie Wände und Gegenstände verbrennen",Apague os incêndios criados pelos incendiários antes que eles incinerem paredes e objetos,Éteignez les feux allumés par les incendiaires avant qu'ils incinèrent les murs et les objets,"Затуши устроенные поджигателями пожары, пока не загорелись стены и объекты",벽과 물건을 소각하기 전에 방화범이 설정한 화재를 진압합니다.
BQC_Hobo,Play as Upper-Cruster,,,Jugar como Clase Alta,假装上流人士,Spiel als privilegierter Bewohner des Nobelviertels,Jogue como um Classe Alta,Jouez en tant que membre du gratin,Игра за богатея,어퍼 크러스터로 플레이
BQC_Shopkeeper,"Shrewd Negotiator is more effective, all other transactions cost less",,,"El negociador sagaz es más efectivo, todo el resto de las transacciones cuestan menos",精明的谈判者更有效，所有其他交易成本更低了,"Raffinierter Verhandlungsführer ist effektiver, alle anderen Transaktionen kosten weniger","O Negociador Astuto é mais eficaz, todas as outras transações custam menos","Négociateur rusé est plus efficace, toutes les autres transactions coûtent moins","Переговорщик действует эффективнее, остальные сделки обходятся дешевле","날카로운 협상가가 더 효과적이며, 다른 모든 거래는 비용이 적게 듭니다."
BQC_Gangbanger,Gang members from both gangs will join your party,,,Miembros de ambas pandillas se unirán a tu grupo,来自两个帮派的成员都会加入你的队伍,Gangmitglieder aus beiden Gangs schließen sich dir an,Os membros de ambas as gangues entrarão para seu grupo,Les membres des deux gangs rejoignent votre groupe,Члены обеих банд присоединятся к твоей группе,2개 갱단의 조직원들이 파티에 참여합니다.
BQC_GangbangerB,Gang members from both gangs will join your party,,,Miembros de ambas pandillas se unirán a tu grupo,来自两个帮派的成员都会加入你的队伍,Gangmitglieder aus beiden Gangs schließen sich dir an,Os membros de ambas as gangues entrarão para seu grupo,Les membres des deux gangs rejoignent votre groupe,Члены обеих банд присоединятся к твоей группе,2개 갱단의 조직원들이 파티에 참여합니다.
BQC_Zombie,"All zombies (not just the player) are stronger and faster, Zombie Phlegm charges more quickly and costs no health",,,"Todos los zombis (no solo el jugador) son más fuertes y rápidos, Flema zombi carga más rápido y no tiene costo de salud",所有的僵尸（不仅仅是玩家）都会更强更快，僵尸粘液充能更快，而且不会消耗生命值,"Alle Zombies (nicht nur der Spieler) sind stärker und schneller, Zombieschleim geht schneller und kostet keine Gesundheit","Todos os zumbis (não apenas o jogador) são mais fortes e mais rápidos, o Muco de zumbi é carregado mais rapidamente e não custa energia",Tous les zombis (pas seulement le joueur) sont plus forts et plus rapides. Le Mollard de zombi se recharge plus rapidement et ne coûte plus de santé,"Все зомби (не только игрок) становятся сильнее и быстрее, атака слизью заряжается быстрее и не отнимает здоровье","모든 좀비(플레이어 포함)가 더 강력하고 빨라지며, 좀비 플레금은 헬스를 사용하지 않고 더 빠르게 충전합니다."
BQC_Cop,"Play as Supercop, no XP loss for arresting innocents",,,Juega como Superpoli sin pérdida de XP por arrestar a inocentes,扮演超级警察，逮捕无辜民众不会损失经验值,"Spiele Superpolizist, kein Erfahrungspunkte-Verlust bei Festnahme von Unschuldigen","Jogue como o Super Policial, não há perda de XP pela prisão de inocentes",Jouez en tant que Super flic. Pas de perte de PX si vous arrêtez des innocents,"Игра за суперкопа, без потери опыта за арест невиновных","슈퍼캅으로 플레이하고, 무고한 사람을 체포할 때 XP 손실은 없습니다"
BQC_Doctor,"No cooldown on Chloroform, free refills at the Ammo Dispenser",,,"El cloroformo no tiene tiempo de enfriamiento, y hay recargas gratis en el Dispensador de municiones",取消氯仿冷却时间，可以在弹药箱免费补充,"Keine Abklingzeit bei Chloroform, kostenloses Nachfüllen an Munitionsverteilern","Não há contagem regressiva para o Clorofórmio, recarregamentos gratuitos no Reservatório de Munição",Pas de temps de recharge sur Chloroforme. Recharges gratuites du Distributeur de munitions,"Не нужно ждать после хлороформа, бесплатное пополнение в раздатчике боеприпасов","클로로포름에 쿨다운 시간이 없으며, 탄약 보급기에서 자유롭게 다시 로드합니다"
BQC_Businessman,"Feelin' Alright makes you euphoric, giving you a bunch of positive status effects",,,"""Me siento bien"" te pone eufórico, lo que te da varios efectos de estado positivos",“感觉很棒”可以让你获得欣快感，为你提供多种正面状态效果,Ich fühle mich gut macht dich euphorisch und bringt dir eine Reihe positiver Statuseffekte,"Sentir-se Bem deixa você eufórico, o que dá a você vários efeitos positivos do estado","Tout va bien vous rend euphorique, ce qui vous accorde un paquet d'effets particuliers positifs","Если у тебя «все в порядке», это дает эйфорию, а с ней — кучу положительных статусных эффектов",기본 좋음'은 당신을 행복하게 만들며 긍정적인 상태 효과를 줍니다.
BQC_ShapeShifter,"Possess has shorter cooldown, no health loss when host dies, people don't get annoyed when they see you possess/depossess",,,"Poseer tiene un menor tiempo de enfriamiento, no pierdes salud cuando el poseído muere, las personas no se molestan cuando te ven poseer/desposeer",附身的冷却时间更短，宿主死亡时不会损失生命值，其他人在看到你附身/解除附身时不会生气,"Besitzergreifen hat eine kürzere Abklingzeit, es gibt keinen Gesundheitsverlust, wenn der Gastkörper stirbt, den Leuten macht es nichts aus, wenn sie sehen, wie du Besitz ergreifst/ablegst","A contagem regressiva da possessão fica mais curta, não há perda de energia quando o hospedeiro morre, as pessoas não ficam irritadas quando você as possui/abandona",Possession a un temps de recharge réduit. Pas de perte de santé si l'hôte meurt. Les personnes ne sont plus ennuyées quand elles vous voient posséder/déposséder,"Меньше ждать после вселения в тело, смерть хозяина не снижает здоровье, люди не раздражаются, когда замечают, как ты вселяешься","소유물은 짧은 쿨다운 시간을 가지며, 호스트가 사망하면 헬스 손실은 없습니다. 당신이 소유 또는 소유 분리할 때 사람들은 신경을 쓰지 않습니다."
BQC_Hacker,"Hacking does not cause people to become Hostile, hacking takes no time, most hackable objects can be blown up",,,"Hackear no hace que las personas se pongan hostiles, hackear es instantáneo, la mayoría de los objetos hackeables se pueden detonar",入侵不会导致其他人变成敌对关系，入侵无需时间，可立即完成，大部分可入侵的物品能够引爆,"Hacking lässt Leute nicht feindselig werden, Hacking erfolgt sofort, die meisten Gegenstände, die gehackt werden können, können in die Luft gejagt werden","Hackear não deixa as pessoas fiquem Hostis, o ato de hackear não demora nada, a maioria dos objetos que podem ser hackeados, podem ser explodidos",Pirater ne rend pas les gens Hostiles et ne prend pas de temps. Vous pouvez faire exploser la plupart des objets à pirater,"Взлом компьютеров не делают людей враждебными и происходит мгновенно, большинство взламываемых объектов можно взорвать","해킹이 사람들을 적대적으로 만들지는 않습니다. 해킹은 시간이 걸리지 않으며, 대부분의 해킹 가능 개체는 사라질 수 있습니다."
BQC_Werewolf,"Werewolf effect lasts longer, lower cooldown, no dizziness, higher speed and damage as Werewolf",,,"El efecto de hombre lobo dura más tiempo, menor tiempo de enfriamiento, sin mareo, mayor velocidad y daño como hombre lobo",狼人效果持续时间更长，冷却时间更短，不会出现眩晕，化身狼人形态时的速度和伤害会更高,"Der Werwolf-Effekt hält länger an, kürzere Abklingzeit, keine Schwindelgefühle, höhere Geschwindigkeit und mehr Schaden als Werwolf","O efeito Lobisomem dura mais, a contagem regressiva fica menor, não há atordoamento, maior velocidade e dano como Lobisomem","Loup-garou dure plus longtemps, se recharge plus rapidement et n'entraîne pas d'étourdissement. Vitesse et dégâts augmentés en forme de Loup-garou","Эффект вервольфа длится дольше, меньшее время восстановления, нет головокружения, скорость и урон в облике вервольфа выше","워울프 효과는 오래 지속되고 쿨다운 시간은 짧아지며, 어지러움이 없고 속도와 데미지가 높아집니다"
BQC_Bartender,Charismatic trait makes people Loyal to you instead of Friendly,,,El rasgo carismático hace que las personas sean leales a ti en lugar de amigables,魅力超凡技能可以让别人对你忠诚，而不是友善,"Charismatische Eigenschaften lassen die Leute dir gegenüber nicht nur freundlich, sondern loyal werden","As características carismáticas deixam as pessoas Leais a você, em vez de Amigáveis",Le trait Charismatique fait que les gens vous sont Loyaux au lieu d'Amicaux,"Харизма делает людей лояльными, а не просто дружественными",카리스마적 특성으로 인해 사람들은 우호적인 것이 아니라 충성스러운 성향을 갖습니다.
BQC_Gorilla,"Lunge takes less time to charge, start with Infectious Spirit",,,"La embestida requiere un tiempo para cargar, comienza con el Espíritu infeccioso",猛攻的充能时间更短，开局拥有技能士气高昂。,"Überraschungsangriff lädt schneller auf, beginne mit ansteckender Stimmung","O ataque demora menos para ser carregado, comece com o Espírito Infeccioso",Ruée se recharge plus rapidement. Vous commencez avec Esprit contagieux,"На зарядку выпада нужно меньше времени, начинаешь с духовной поддержкой",돌진은 충전 시간이 적게 걸리며 감염성 영혼으로 시작합니다.
